caption,username,fullname,shortcode,timestamp,imgUrl,likeCount,likeRatio,commentCount,commentRatio,isVideo,isAd,hashtags
WITH THE WORKS or SWEET POTATO?! Comment below! 👇🏼 #BRFC #CluckYeah,blueribbonfc,Blue Ribbon Fried Chicken,B43IB4mDrOa,1573767762,https://scontent-lax3-1.cdninstagram.com/vp/ccb5dce1f57aa622fa0b3729b2191ec6/5E529197/t51.2885-15/e35/p1080x1080/72532933_2529472720464347_3799466885529064546_n.jpg?_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=1,1190,0.008424898051653829,18,0.00012743543271409152,False,False,"['brfc', 'cluckyeah']"
Grilled Cheese | (Taster: @elisebgravel) #tastemontreal,tastemontreal,TasteMontreal,B43WM4chgaD,1573775193,https://scontent-lax3-1.cdninstagram.com/vp/438910015309920ea660568762556c9c/5E5AED3B/t51.2885-15/e35/p1080x1080/73038327_479880115944833_5356528305701056201_n.jpg?_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=1,1748,0.011916286045401868,37,0.00025223259935919283,False,False,['tastemontreal']
"MINI PIEROGY POUTINE 🔥Who needs fries when you have pierogies?! Whipped this poutine up with some @mrstspierogies Minis from the grocery store (freezer aisle!) and it was delicious!!! #sorrynosalad #poutine #cheese #MrsTsPartner
👉🏼Follow @sorrynosalad
👇🏼TAG SOMEONE WHO NEEDS TO TRY THIS!",sorrynosalad,Sorry No Salad 🍕,B43F4tughyt,1573766639,https://scontent-lax3-1.cdninstagram.com/vp/5b90420afe3db5fa9390c5e5a408998b/5E4D3AAD/t51.2885-15/e35/p1080x1080/74655048_564275704341038_4519918520959573418_n.jpg?_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=1,686,0.0034073411811453833,12,5.960363582178513e-05,False,False,"['poutine', 'mrstspartner', 'sorrynosalad', 'cheese']"
"Daydreaming of @flintbybaltaire house made pita bread 🤤 I finally got to try @flintbybaltaire and was not disappointed 🖤 Everything from the stunning two story, open-air atmosphere to the wood fired cuisine was spot on 🔥 one thing is for sure, I’ll be back *said in terminator voice* #flintbybaltaire",kyndraskitchen,Kyndra Claire • Arizona Foodie,B42v8CBpslH,1573755132,https://scontent-lax3-1.cdninstagram.com/vp/7eb0f5efd122d27d0cdad6dc879a4061/5E5A2DCA/t51.2885-15/e35/p1080x1080/73185595_480337966200082_3066858867755810601_n.jpg?_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=110,1476,0.06660950403899094,72,0.0032492440994629722,False,False,['flintbybaltaire']
"I can be your hero baby 🎶 You gotta check out @russosnyc in East Village. This tiny, hidden gem has tons of handmade pastas, mozzarella and Italian heroes - this is the “First Avenue” - prosciutto, fresh mozz & sundried tomato 🍝🧀 #italian #NYCFoodComa",nycfoodcoma,Jessica • NYCFoodComa,B42qautpHkc,1573752237,https://scontent-lax3-1.cdninstagram.com/vp/bdd81707de2abff34ae8b54ee6616813/5E471257/t51.2885-15/e35/p1080x1080/75412653_169055277621932_6958465051500250320_n.jpg?_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=108,1420,0.007797870412573242,16,8.786332859237456e-05,False,False,"['nycfoodcoma', 'italian']"
"🦀🔥TREMENDOOOO TACO 🌮🌮 CON MASA DE CHIPA🤤🦀
.
.
MASA DE QUESO 🤤 BONDIOLA DESMENUZADA🔥
Y SALSA TUKI TUKI 🎉
LISTO, ME VOLVÍ LOCO 🦀🦀
.
.
.
.
.
.
.
.
.
.
.
#food #tacos #recetas #foodporn #foodie",gabi.cocina,Gabi San Juan,B43YSdplaI_,1573776287,https://scontent-lax3-1.cdninstagram.com/vp/f308d63f4fe889216d2dbc5e4a4dadc8/5DD0AF47/t51.2885-15/e35/71668636_100477008066511_2974238939259766293_n.jpg?_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=1,9764,0.033747399127627656,250,0.0008640772001133669,False,False,"['food', 'foodporn', 'foodie', 'tacos', 'recetas']"
"Crunchwrap Supreme 🤤 
Ingredients
- Iceburg Lettuce - Tomato
- Cheese
- Beef
- Tacobell fire sauce
- Sour cream
- Tostada shell
- Large flour tortilla
- Mexican or taco seasoning

Instructions

Taco seasoning mix: 1 TBS Cumin, 1 TBS Chilli powder, ½ TBS Paprika, 1 TBS Garlic powder, 1 TBS Onion powder, ½ TBS Cayenne, ½ TBS oregano, 1 TBS Salt, ½ TBS Black pepper, ¼ TBS chili flakes, mix all together

Ground beef: season beef with 1 TBS Mexican seasoning and mix, and add to a pan on high heat with large drizzle of olive oil, break it up in the pan with a wooden spoon and keep it on the heat til the water starts to evaporate and the beef starts to fry in its own fat, approx 7-10 mins, but you will heat it go from boiling to frying, then add a touch of flour to create a sort of sauce to go with the meat 
Building: take a 12” (preferably) flour tortilla and make a tostada size layer of beef in the middle, add a tostada shell with sour cream on top, add shredded or sliced iceberg lettuce, diced tomatoes, and cheese (any kind) I used cheddar

Folding: take any edge of tortilla and fold in, then at corner either corner fold in, and continue in same direction all the way around

Toasting: on same pan you cooked ground beef toast the crunch wrap on high heat about 2 minutes each side or till you see some color

EAT
#crunchwrap #tacobell #mexican #mexicanfood #food #foodporn #foodie #foodstagram #foodblogger #foods #foodgram #cooking #cook #cookingvideo #cookbooks #cookingclasses #chef #cheflife #chefs #chefmode #recipes #recipe #easyrecipes",nishcooks__,Joshuah Nishi,B428KbRFeEG,1573761887,https://scontent-lax3-1.cdninstagram.com/vp/868d53db791b4974d446c73d08b76967/5DD13429/t51.2885-15/e35/75554010_150825269638418_1443843564698856797_n.jpg?_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=1,4262,0.12917891673991452,213,0.006455914891037493,False,False,[]
"Cuando no sabes si comer o seguir jugando en @boleramayorca 🎳😂 El mejor plan de la vidaaaaa, cuesta 💵76.000 por una hora y pueden estar hasta 6 personas 👌🏻A parte les llevan la carta de @sportwings para que pidan comida o cervecitas 🍺 Para estas vacaciones apenas está y en el segundo piso hay billares, maquinitas y juegos para niños 😌.
📍Bolera Mayorca.",mafe.eats,Mafe Eats • Medellin Foodie,B43fG7hpY_Z,1573779862,https://scontent-lax3-1.cdninstagram.com/vp/c35b3203b46ed710a86b5adcc7c41de6/5E6C0488/t51.2885-15/e35/p1080x1080/72270986_108727867124249_4573755046494229536_n.jpg?_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=105,421,0.005787657579631844,12,0.00016496886212727347,False,False,[]
Should we bring this oxtail Alfredo back next Thursday?  #oxtail #pasta #love #foodies #crayway #foodporn #food #kitchebcray,kitchencraycafe,Kitchencray Cafe,B43NvmJArmX,1573770758,https://scontent-lax3-1.cdninstagram.com/vp/c20c6f168404a0bd02de92b5881cc687/5E8986F6/t51.2885-15/e35/s1080x1080/75214727_571269867011740_8927103007733548608_n.jpg?_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=1,2468,0.029365570415496645,120,0.0014278235210128027,False,False,"['foodies', 'food', 'love', 'crayway', 'oxtail', 'foodporn', 'kitchebcray', 'pasta']"
Don't you dare try to pull me away from this. 📷: @eatswithjb/📍: @stockphilly #forkyeah,thrillist,thrillist,B43U4-tg5L_,1573774505,https://scontent-lax3-1.cdninstagram.com/vp/101c526600f7a45f5bb44c825c6d74a0/5E8C51A7/t51.2885-15/e35/75244448_167169317815971_5936357895454675416_n.jpg?_nc_ht=scontent-lax3-1.cdninstagram.com&_nc_cat=1,2483,0.0036040246635469526,26,3.773847815232411e-05,False,False,['forkyeah']
